user_id,created_at,screen_name,text,source,lang,hashtags
732164717460889600,2020-04-07 12:20:05,eashwervenkat19,"Just Now Finished 4 Episodes in season 1 <U+0001F525><U+0001F525> Racy screenplay <U+0001F525><U+0001F525> So far So Good. Not Even A Milli sec of dull scenes <U+0001F44C><U+0001F44C><U+0001F525> 

#MoneyHeist #LaCasaDePapel",Twitter for Android,en,"MoneyHeist,LaCasaDePapel"
732164717460889600,2020-04-07 12:28:39,eashwervenkat19,"Episode 5 <U+0001F449> Lets Go...<U+0001F525><U+0001F44B> 
#MoneyHeist #LaCasaDePapel",Twitter for Android,en,"MoneyHeist,LaCasaDePapel"
269164295,2020-04-04 06:42:00,TANK_RAIDER,"Me after watching whole season in a day and now waiting for season 5
#MoneyHeist4 #LaCasaDePapel  #Moneyheistseason4 https://t.co/SducwoTXcW",Twitter for Android,en,"MoneyHeist4,LaCasaDePapel,Moneyheistseason4"
269164295,2020-04-04 06:38:59,TANK_RAIDER,"The image you can hear
#LaCasaDePapel #MoneyHeist4 #Moneyheistseason4 https://t.co/2xK4SL0zWf",Twitter for Android,en,"LaCasaDePapel,MoneyHeist4,Moneyheistseason4"
269164295,2020-04-04 06:28:42,TANK_RAIDER,"Season 5 for Nairobi
#MoneyHeist4 #LaCasaDePapel #Moneyheistseason4 #<U+0627><U+0644><U+0628><U+0631><U+0648><U+0641><U+064A><U+0633><U+0648><U+0631> https://t.co/qNbtFAKcGG",Twitter for Android,en,"MoneyHeist4,LaCasaDePapel,Moneyheistseason4,<U+0627><U+0644><U+0628><U+0631><U+0648><U+0641><U+064A><U+0633><U+0648><U+0631>"
334639957,2020-04-07 08:24:45,Batwaynne,Done with season 2 of #LaCasaDePapel <U+2665><U+FE0F> such magnificent making <U+0001F632>,Twitter for Android,en,LaCasaDePapel
334639957,2020-04-04 18:58:02,Batwaynne,Denver's laugh <U+0001F602><U+0001F602> #MoneyHeist #LaCasaDePapel,Twitter for Android,en,"MoneyHeist,LaCasaDePapel"
1112335358019010560,2020-04-05 14:08:12,_tipsytalk,Palermo and Tokyo can go to hell and fight each other until eternity. #MoneyHeist #LaCasaDePapel,Twitter for iPhone,en,"MoneyHeist,LaCasaDePapel"
825479720087207936,2020-04-07 10:19:19,dnfhdfbh,I've just watched episode S04E02 of Money Heist! #lacasadepapel #tvtime https://t.co/nDpz9f9pGA https://t.co/e3qsd00tsN,"TV Time, TV show tracker",en,"lacasadepapel,tvtime"
825479720087207936,2020-04-07 07:54:11,dnfhdfbh,I've just watched episode S04E01 of Money Heist! #lacasadepapel #tvtime https://t.co/NNfFWoUFgA https://t.co/t2fYQr4DkL,"TV Time, TV show tracker",en,"lacasadepapel,tvtime"
1163349607277088768,2020-04-08 05:52:50,thugiver,I've just watched episode S04E04 of Money Heist! #lacasadepapel  #tvtime https://t.co/gnHB31po1o https://t.co/AoDGZ0TRwd,"TV Time, TV show tracker",en,"lacasadepapel,tvtime"
1163349607277088768,2020-04-07 20:28:17,thugiver,I've just watched episode S04E03 of Money Heist! #lacasadepapel  #tvtime https://t.co/nKjGgUivc9 https://t.co/pcaEEWILfS,"TV Time, TV show tracker",en,"lacasadepapel,tvtime"
1163349607277088768,2020-04-07 19:46:46,thugiver,I've just watched episode S04E02 of Money Heist! #lacasadepapel  #tvtime https://t.co/BoUNaP81we https://t.co/DSTDQ4oBHj,"TV Time, TV show tracker",en,"lacasadepapel,tvtime"
37802383,2020-04-05 12:51:54,_Divine03,I've just watched episode S04E01 of Money Heist! #lacasadepapel #tvtime https://t.co/iYWju8qOOY,"TV Time, TV show tracker",en,"lacasadepapel,tvtime"
906198588744753153,2020-04-08 10:21:07,ada_andic,My name at #LaCasaDePapel would be Vienna <U+0001F601><U+0001F601> https://t.co/8undK0t7Dl,Twitter for Android,en,LaCasaDePapel
2805302353,2020-04-03 12:56:06,FerventMaharaja,WHAT THE FUCK WAS THAT ENDING TO E3 S1 OF #LaCasaDePapel OMG,Twitter for Android,en,LaCasaDePapel
2805302353,2020-04-08 11:28:57,FerventMaharaja,BRUH The Professor from #LaCasaDePapel is SO SLICK.,Twitter for Android,en,LaCasaDePapel
2805302353,2020-04-06 19:44:58,FerventMaharaja,The scene from #LaCasaDePapel where the professor makes himself look disgusting in the junkyard to get away with stuff was pretty tense. I love this show,Twitter for Android,en,LaCasaDePapel
2805302353,2020-04-02 21:38:13,FerventMaharaja,Just started watching the #LaCasaDePapel.,Twitter for Android,en,LaCasaDePapel
2805302353,2020-04-03 09:10:22,FerventMaharaja,"Seeing Christian, Nano and Marina together in #LaCasaDePapel is very fun.",Twitter for Android,en,LaCasaDePapel
2805302353,2020-04-05 18:28:33,FerventMaharaja,Okay..episode 7 season 1 and it's getting emotional in here. All the robbers are having mental breakdowns and shit. #LaCasaDePapel,Twitter for Android,en,LaCasaDePapel
