user_id,created_at,screen_name,text,source,lang,hashtags
1141596736642789376,2020-04-04 21:39:53,anita_dolcevita,"Ho finito la casa di carta.....
E niente....
 #LaCasaDePapel https://t.co/AzUrEDGnMY",Twitter for iPhone,it,LaCasaDePapel
952267423,2020-04-04 20:20:22,xfunnyvalentine,Comunque è inaccettabile che #LaCasaDePapel continui a fare fuori i personaggi migliori. La serie non sarà più la stessa senza di LEI <U+0001F494>,Twitter for Android,it,LaCasaDePapel
47882479,2020-04-05 11:36:33,gameop,Ho appena visto l'episodio S03E05 di Money Heist!  #lacasadepapel #tvtime https://t.co/l2DUvHXtpg https://t.co/RVoYtnpdnB,"TV Time, TV show tracker",it,"lacasadepapel,tvtime"
221128143,2020-04-05 20:49:33,carlowonderland,Ho visto l’episodio S04E02 di Money Heist! #lacasadepapel  #tvtime https://t.co/RjJvKd9Etl https://t.co/9tJVjj3Cod,"TV Time, TV show tracker",it,"lacasadepapel,tvtime"
221128143,2020-04-05 20:22:33,carlowonderland,Ho visto l’episodio S04E01 di Money Heist! #lacasadepapel  #tvtime https://t.co/rFUZaBgmNB https://t.co/pxjoEsBgzw,"TV Time, TV show tracker",it,"lacasadepapel,tvtime"
221128143,2020-04-07 20:26:31,carlowonderland,Ho visto l’episodio S04E06 di Money Heist! #lacasadepapel  #tvtime https://t.co/6TZ5QTjtpm https://t.co/Dq0BUxJEVy,"TV Time, TV show tracker",it,"lacasadepapel,tvtime"
221128143,2020-04-06 20:16:19,carlowonderland,Ho visto l’episodio S04E04 di Money Heist! #lacasadepapel  #tvtime https://t.co/cwpwrrjG8A https://t.co/XqRucYU2tQ,"TV Time, TV show tracker",it,"lacasadepapel,tvtime"
448039558,2020-04-04 09:51:51,meisterVengenz,"Già non ho voglia di guardarlo poi fate tutti spoiler, maledetti essere umani. #LaCasaDePapel",Twitter for Android,it,LaCasaDePapel
1019150603472125952,2020-04-08 13:10:18,MarysAdventure5,Ecco perché non mi ci raccapezzavo. La stagione 3 mica l'avevo vista ancora #LaCasaDePapel,Twitter for Android,it,LaCasaDePapel
132963251,2020-04-08 22:39:58,FedeUgolotti,Mi piace Palermo al comando ma il migliore era lui <U+0001F4AA><U+0001F3FB><U+0001F970> #LaCasaDePapel3 #LaCasadicarta #LaCasaDePapel https://t.co/EsQSIHIto6,Twitter for iPhone,it,"LaCasaDePapel3,LaCasadicarta,LaCasaDePapel"
72254436,2020-04-08 22:27:23,TheSuperMarlo,Bella ciao #laputaama #lacasadepapel @ Carnevale Di Venezia https://t.co/rEv7xYjmCz,Instagram,it,"laputaama,lacasadepapel"
